Country Name,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0567960443,0.1696863772,0.2811410051,0.5583772218,1.1083863281,2.1993018316,4.08825507,8.0960100434,10.9338085895,17.8504672406,23.1388121904,25.85,34.31,36.99,41.61,54.82,61.158324551,65.34,67.38,69.85
"Iran, Islamic Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0.000408332,0.0041797524,0.0158260802,0.0467560941,0.0998152205,0.3785690945,0.93419002,1.4842213316,4.6261751149,6.933721953,7.49,8.1,8.76,9.47,12.02,13.8,15.9
Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0.1,0.5,0.6,0.9,0.9,0.9523442438,0.93,1,1.06,2.5
Iceland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.5051290022,1.5391600803,2.6678252651,6.7948117837,11.2158756982,14.8064793153,27.4788687499,36.2642065029,41.2945667123,44.4705338243,49.3929953676,79.12,83.14,83.88,87,89.51,90.6,91,93,93.39
Israel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1107738662,0.2146240998,0.3105791971,0.3988333327,0.5769664604,0.9304229703,2.1683676005,4.3994054819,10.3070699457,13.4361219053,20.8737899982,17.3786238639,17.764599063,19.593393658,22.7704855254,25.1940424217,27.8810744577,48.1280621948,59.39,63.12,67.5
Italy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0175445624,0.0350632556,0.0700534326,0.1224620527,0.1923046195,0.5244127875,1.0232899033,2.276737834,4.5585195654,14.3784101929,23.1108742441,27.2221169789,28.04,29.04,33.24,35,37.99,40.79,44.53,48.83,53.68
Jamaica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0.0368171041,0.1094879855,0.5911458417,0.7977974408,1.9787263176,2.355688556,3.1157780273,3.8630203875,6.1,7.8,10,12.8,16.4,21.1,23.6,24.3,27.67
Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0.02323392,0.0449385488,0.599341106,1.3058882643,2.5269653526,2.6232754216,4.7057195809,6.0255324119,8.4660050162,11.6587413706,12.9328520458,13.8671087882,20,23,26,27.2
Japan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0202936829,0.040438041,0.0966780254,0.4012775264,0.799684291,1.5943631482,4.3729819682,9.1630771403,13.414040882,21.3912903124,29.9907403589,38.5320608613,46.594201118,48.43526589,62.3939296327,66.9210661043,68.6852703214,74.3,75.4,78,78.21
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0.0005210789,0.0113023546,0.031824512,0.0645967541,0.131069604,0.4642772175,0.6685944026,1.006124211,1.6747709952,2.0004147527,2.650394657,2.9617074915,3.2683690512,4.02,11,18.2,31.6
